ID       charge       PDG ID
1       1       2212
1       0       2112
2       2       2224
2       1       2214
2       0       2114
2       -1       1114
3       1       202212
3       0       202112
4       1       102212
4       0       102112
5       1       122212
5       0       122112
7       1       102214
7       0       102114
8       1       112214
8       0       112114
10       1       102216
10       0       102116
12       1       212212
12       0       212112
14       1       212214
14       0       212114
16       1       202216
16       0       202116
19       2       112222
19       1       112212
19       0       112112
19       -1       111114
21       2       122224
21       1       122214
21       0       122114
21       -1       121114
26       2       222222
26       1       222212
26       0       222112
26       -1       221112
27       2       202224
27       1       202214
27       0       202114
27       -1       201114
28       2       222224
28       1       222214
28       0       222114
28       -1       221114
30       2       212226
30       1       212216
30       0       212116
30       -1       211116
31       2       202228
31       1       202218
31       0       202118
31       -1       201118
32       0       3122
33       1       3222
33       0       3212
33       -1       3112
34       1       3224
34       0       3214
34       -1       3114
35       0       102132
36       0       102134
37       0       203122
38       0       103122
39       0       103124
40       0       213122
41       0       203126
42       0       103126
43       1       103224
43       0       103214
43       -1       103114
44       1       103226
44       0       103216
44       -1       103116
45       1       203228
45       0       203218
45       -1       203118
46       0       123122
47       0       213124
50       1       203222
50       0       203212
50       -1       203112
51       1       113222
51       0       113212
51       -1       113112
52       1       203226
52       0       203216
52       -1       203116
53       0       3322
53       -1       3312
54       0       3324
54       -1       3314
55       -1       3334
56       1       4122
57       2       4222
57       1       4212
57       0       4112
58       2       4224
58       1       4214
58       0       4114
59       1       4232
59       0       4132
60       1       4324
60       0       4314
61       0       4332
101       1       211
101       0       111
101       -1       -211
102       0       221
103       1       213
103       0       113
103       -1       -213
104       0       9000221
105       0       223
106       0       331
107       0       333
108       0       441
109       0       443
110       1       321
110       0       311
111       0       -311
111       -1       -321
112       1       323
112       0       313
113       0       -313
113       -1       -323
114       1       411
114       0       421
115       0       -421
115       -1       -411
116       1       423
116       0       413
117       0       -413
117       -1       -423
118       1       431
119       -1       -431
120       1       433
121       -1       -433
122       0       225
901       -1       11
902       -1       13
903       -1       15
911       0       12
912       0       14
913       0       16
997       1       24
997       -1       -24
998       0       23
999       0       22
